Food_Code,Thai_Name,English_Name,Scientific_name,SUGAR(g),Protein(g),Fat(g),Energy(kcal) by calculation,CHOCDF (g) Carbohydrate,FIBTG (g) Dietary fibre
B9,"มันเทศ, เนื้อสีเหลือง, นึ่ง","Sweet potato, yellow flesh, steamed",Ipomoea batatas,9.42,0.9,0.1,-,-,4.2
C1,งาขาว. ดิบ,"Sesame, seeds, white, raw",Sesanum indicum,-,20.12,51.07,-,-,21.4
C10,"ถั่วปากอ้า, เมล็ดแห้ง, ดิบ","Broad bean, mature seeds, dried, raw",Vicia faba,-,22.1,1.5,349,61.77,-
C100,"ถั่วเขียว, ปอกเปลือก, ผ่าซีก, นึ่ง","Mung bean, dehulled, split, steamed",Vigna radiata,0.11,12.01,1.78,-,-,4.3
C101,แป้งถั่วเขียว,Mungbean starch,Vigna radiata,0,0.17,0.05,-,-,0.9
C104,"ถั่วฝักดาบ (ถั่วพร้า), เมล็ดแห้ง, สีแดง, ดิบ","Jack bean, mature seeds, red, dried, raw",Canavalia gladiata,-,22,1.4,-,-,27.2
C105,"ถั่วแระ, ต้ม","Soybean, young seeds, boiled",Glycine max,0.58,14.4,7.91,-,-,7.2
C106,"ถั่วลิสง, คั่ว, ไม่รวมเยื่อหุ้มเมล็ด","Peanut, roasted, without seed coat",Arachis hypogaea,-,26.38,48.65,-,-,6.2
C107,"ถั่วลิสง, ต้ม, รวมเยื่อหุ้มเมล็ด","Peanut, boiled, with seed coat",Arachis hypogaea,1,1.4,3.2,-,-,6.2
C11,"ถั่วฝักยาว, เมล็ดแห้ง, ดิบ","Yardlong bean, mature seeds, dried, raw",Vigna unguiculata subsp. Sesquipedalis,-,27.56,1.7,347,55.46,-
C110,"ถั่วเหลือง, ต้ม","Soybean, mature seeds, boiled",Glycine max,-,14.8,9.87,-,-,8.3
C114,"โปรตีนเกษตร, แช่น้ำ, ต้ม","Soy protein (Kaset protein), soaked and cooked",Glycine max,-,10.22,1.76,-,-,2.9
C115,"ฟักทอง, เมล็ด, อบเกลือ","Pumpkin, seed kernels, salted",Cucurbita moschata,3.45,33.4,45.4,-,-,9.4
C116,"แมคคาเดเมียนัท, รสธรรมชาติ","Macadamia, natural flavour",Macadamia integrifolia,3.2,7.6,78.5,-,-,5
C12,"ถั่วพุ่ม, เมล็ดแห้ง, สีต่างๆ, ดิบ","Cowpea, mature seeds, mixed colours, dried, raw",Vigna sinensis,-,24.16,2.01,357,60.69,-
C122,"แมงลัก, เมล็ด, ดิบ","Hoary basil, seed, raw",Ocimum ื citriodorum,0.1,14.8,15.9,-,-,56.8
C123,"แมงลัก,เมล็ด ,แช่น้ำ, ดิบ","Hoary basil, seed, soaked, raw",Ocimum ื citriodorum,-,0.8,0.6,-,-,3.1
C124,"วุ้นเส้น (หลายยี่ห้อ), แช่ 15 นาที ลวก 3 นาที","Mungbean noodles,soaked 15 min, blanched 3 min",Vigna radiata,0,0.07,0,-,-,1.3
C126,"เกาลัด, พันธุ์พื้นเมือง, ภาคเหนือ, นึ่ง","Chestnut, local varieties, northern, steamed",Castanea,-,4,0.53,-,-,6.7
C127,"เกาลัด, ลูกใหญ่, ดิบ","Chestnut, raw",Castanea,-,3.8,1.8,217,46.5,-
C128,"งาดำ, อบ","Sesame seeds, black, oven dried",Sesanum indicum,-,20.6,51.9,-,-,15.7
C129,"แปะก๊วย, เมล็ด, ไม่มีเปลือก","Ginko, seed, hulled",-,-,5.2,1.9,191,38.3,-
C13,"ถั่วพู, เมล็ดแห้ง, ดิบ","Winged bean, mature seeds, dried, raw",Psophocarpus tetragonolobus,-,34.14,15.53,424,36.92,-
C132,"เมล็ดบัว, ดิบ","Lotus, seeds, raw",Prunus dulcis,-,19.2,2.1,-,-,10
