Food_Code,Thai_Name,English_Name,Scientific_name,SUGAR(g),Protein(g),Fat(g),Energy(kcal) by calculation,CHOCDF (g) Carbohydrate,FIBTG (g) Dietary fibre
J4,"นมข้น, แปลงไขมัน, สูตรน้ำมันปาล์มผสมมันเนย, รสหวาน","Milk, condensed, filled, recombined with butter fat and palm oil, sweetened",-,-,7.49,8.1,330,-,0
J40,"นมพาสเจอร์ไรส์, รสช็อกโกแลต, ต่อ 100 มล.","Milk, whole, pasteurised, chocolate flavour, per 100 mL",-,10.71,2.89,3.43,90,-,0
J41,"นมพาสเจอร์ไรส์, รสต่างๆ, ต่อ 100 มล.","Milk, whole, pasteurised, different flavours, per 100 mL",-,6.22,3.2,3.83,84,-,0
J43,"นมพาสเจอร์ไรส์, รสหวาน, ต่อ 100 มล.","Milk, whole, pasteurised, sweetened, per 100 mL",-,8.03,3.15,3.63,82,-,0
J45,"นมยูเอชที, รสธรรมชาติ, ต่อ 100 มล.","Milk, whole, UHT, plain, per 100 mL",-,4.72,3.2,3.74,71,-,0
J46,"นมยูเอชที, รสช็อกโกแลต, ต่อ 100 มล.","Milk, whole, UHT, chocolate flavour, per 100 mL",-,9.08,3.19,3.5,85,-,0
J47,"นมยูเอชที, รสต่างๆ, ต่อ 100 มล.","Milk, whole, UHT, different flavours, per 100 mL",-,9.25,3.21,3.55,83,-,0
J5,"นมข้น, หวาน","Milk, condensed, sweetened",-,56.5,7.94,9.19,342,-,0
J50,"นมสเตอริไลส์, รสธรรมชาติ, ต่อ 100 มล.","Milk, whole, sterilised, plain, per 100 mL",-,5.17,3.29,3.42,76,-,0
J51,"นมขาดมันเนย, พาสเจอร์ไรส์, ต่อ 100 มล.","Milk, skimmed, pasteurised, per 100 mL",-,5.4,4.19,0.11,42,-,0
J52,"นมพร่องมันเนย, พาสเจอร์ไรส์, รสธรรมชาติ, ต่อ 100 มล.","Milk, low fat, pasteurised, plain, per 100 mL",-,5.2,3.8,1.61,54,-,0
J54,"นมพร่องมันเนย, ยูเอชที รสธรรมชาติ, ต่อ 100 มล.","Milk, low fat, UHT, plain, per 100 mL",-,5.28,3.71,1.31,52,-,0
J6,"นมคน, 3 เดือน, ต่อ 100 มล.","Milk, human, 3 month lactation, per 100 mL",-,-,0.8,2.5,56,-,0
J60,"โยเกิร์ต, รสต่างๆ, ค่าเฉลี่ย","Yoghurt, cream, different flavours, average",-,12.74,3.59,2.8,106,-,0.9
J61,"โยเกิร์ต, รสธรรมชาติ","Yoghurt, cream, plain",-,5.92,4.51,3.04,94,-,0
J62,"โยเกิร์ต, รสธัญญาหาร","Yoghurt, cream, cereal flavoured",-,15.39,3.57,2.52,-,19.27,-
J66,"นมผง, พร่องมันเนย","Milk, powder, low fat",-,41.23,19.07,17.49,458,-,1.8
J67,"นมคน, 1 เดือน, ต่อ 100 มล.","Milk, human, 1 month lactation, per 100 mL",-,-,0.9,2,52,-,0
J68,"นมคน, 6 เดือน, ต่อ 100 มล.","Milk, human, 6 month lactation, per 100 mL",-,-,0.8,2.5,56,-,0
J69,"ชีส, เชดดา","Cheese, cheddar",-,0,19.75,28.27,380,-,0
J7,"นมผง, ครบส่วน (หัวนมผง)","Milk, powder, whole",-,32.67,25.63,26.54,495,-,2
J72,"นมผง, ขาดมันเนย","Milk powder, defatted",-,56.7,33.3,0.61,357,-,0
J8,"นมคืนรูป, พร่องมันเนย, ยูเอชที, ต่อ 100 มล.","Milk, recombined, low fat, UHT, per 100 mL",-,5.7,3.11,1.62,49,-,0
J9,,"Milk, cultured, Yakultฎ brand, per 100 mL",-,-,1.5,0.09,82,-,0
K1,"กะทิ, ผง","Coconut milk, powder, commercial packed",Cocos nucifera,5.39,8,57.76,674,-,2
K10,มาการีน (เสริมวิตามินเอ),Margarine (vitamin A fortified),-,-,0.4,89.16,804,-,0
K11,"มาการีน, เอนกประสงค์","Margarine, all purposes",-,-,0.4,80.18,723,-,0
K14,มายองเนส,Mayonnaise,-,11.37,1.56,49.86,521,-,0
K16,"น้ำสลัด, ครีม","Salad dressing, cream",-,21.29,1.23,44.97,519,-,0.8
K17,"มะพร้าว, คั่ว","Coconut meat, roasted",Cocos nucifera,13.65,6.55,60.42,650,-,14.6
K18,"น้ำสลัด, เทาซัน ไอร์แลนด์ เดรสซิ่ง","Salad dressing, thousand island",-,17.7,1.2,37.4,-,17.1,-
K19,"น้ำมันข้าวโพด, ผ่านกรรมวิธี 100%, ต่อ 100 มล.","Oil, corn, refined, per 100 mL",Zea mays,-,0,92.6,833,-,0
K2,"กะทิ, กระป๋อง","Coconut milk, canned",Cocos nucifera,1.73,1.89,16.64,170,-,0.1
K20,"น้ำมันถั่วเหลือง, ผ่านกรรมวิธี 100%, ต่อ 100 มล.","Oil, soybean, refined, per 100 mL",Glycine max,-,0,90.8,817,-,0
K21,"น้ำมันปาล์มโอเลอิน, ผ่านกรรมวิธี, ต่อ 100 มล.","Oil, palm olein, refinded, per 100 mL",Elaeis guineensis,-,0,91.33,829,-,0
K22,"น้ำมันเมล็ดทานตะวัน, ผ่านกรรมวิธี 100%","Oil, sunflower, refined",Helianthus annuus,-,0,95.1,856,-,0
K23,"กะทิ, สด","Coconut milk, fresh",Cocos nucifera,-,1.61,14.78,-,2.14,-
K24,"กะทิ, หัว","Coconut milk, cream",Cocos nucifera,-,3.1,28.11,-,1.68,-
K25,"มะพร้าว, อบแห้ง","Coconut meat, dried",Cocos nucifera,1.8,4.1,39.2,482,-,50.8
K28,"กะทิ, ยูเอชที, กล่อง","Coconut milk, UHT, commercial packed",Cocos nucifera,2,2.06,18.05,193,-,0
K29,"น้ำมันคาโนลา (น้ำมันเรพสีด), ต่อ 100 มล.","Oil, rapeseed (canola), per 100 mL",Brassica napus,-,0,89.5,806,-,0
K3,แซนวิชสเปรด,Sandwich spread,-,7.45,1.06,43.84,-,20.2,0
K30,น้ำมันข้าวโพด,"Oil, corn",Zea mays,-,0,100,900,-,0
K31,"น้ำมันงา, ต่อ 100 มล.","Oil, sesame seed, per 100 mL",Sesamum indicum,-,0,88.73,829,-,0
K34,น้ำมันปาล์มโอเลอิน,"Oil, palm olein",Elaeis guineensis,-,0,100,900,-,0
K35,น้ำมันปลา,"Oil, fish",-,-,0,99.75,898,-,0
K36,น้ำมันปลาทูน่า,"Oil, tuna fish",-,-,0,97.8,834,-,0
K37,"น้ำมันมะพร้าว, ต่อ 100 มล.","Oil, coconut oil, per 100 mL",Cocos nucifera,-,0,93.5,856,-,0
K38,"น้ำมันเมล็ดชา, ต่อ 100 มล.","Oil, camellia seed, per 100 mL",Camellia oleifera,-,0,88.4,797,-,0
K39,น้ำมันเมล็ดดอกทานตะวัน,"Oil, sunflower seed",Helianthus annuus,-,0,100,900,-,0
K40,"น้ำมันถั่วลิสง, ต่อ 100 มล.","Oil, peanut, per 100 mL",Arachis hypogaea,-,0,85.4,769,-,0
K41,น้ำมันถั่วเหลือง,"Oil, soybean",Glycine max,-,0,100,900,-,0
K42,น้ำมันรำข้าว,"Oil, rice bran",Oryza sativa,-,0,100,900,-,0
K43,"น้ำมันรำข้าว, ผ่านกรรมวิธี","Oil, rice bran, refined",Oryza sativa,-,0,100,900,-,0
K44,น้ำมันอีฟนิ่ง พรีมโรส,"Oil, evening primrose",Oenothera biennis,-,0,100,900,-,0
K45,"น้ำสลัด, งาญี่ปุ่น","Salad dressing, japanese sesame flavour",-,12.8,2.4,15.07,262,-,2
K46,"น้ำสลัด, ซอสญี่ปุ่น","Salad dressing, japanese sauce flavour",-,15.8,2.8,15.33,195,-,1.7
K47,เนยขาว,Shortening,-,-,-,96.85,-,-,0
K48,น้ำมันเมล็ดในปาล์ม ผ่านกรรมวิธี,"Oil, palm kernel, refined",-,-,0,96.8,871,-,0
K49,บัตเตอร์สเปรด (ชนิดเค็ม) (ผลิตภัณฑ์สำหรับทาขนมปังและทำเบเกอรี่),Butter Spread (Salted),-,-,0,69.6,-,0,-
K5,"เนยสด, ชนิดเค็ม","Butter, pure creamery, salted",-,-,0.61,83.64,757,-,0
K50,บัตเตอร์สเปรด (ชนิดจืด) (ผลิตภัณฑ์เนยสำหรับทาขนมปังและทำเบเกอรี่),Butter Spread (Unsalted),-,-,0,80.1,-,0,-
K51,ครีมเทียม,Coffee-mate,-,-,1.98,36.24,560,-,0
K7,"เนยสด, ชนิดจืด","Butter, pure creamery, unsalted",-,-,0.71,83.06,752,-,0
K8,"มะพร้าว, ขูด","Coconut meat, grated",Cocos nucifera,-,3.5,28.7,-,13.3,-
K9,มันหมูแข็ง,Lard,Sus scrofa domesticus,-,3.9,81.6,750,-,0
M1,"ขนมมาร์เมลโล, สอดไส้ช็อกโกแลต","Mashmello, chocolate filled",-,34.3,6.3,13.5,-,72.9,-
M10,แบะแซ,Glucose syrup,-,23.3,0,0,-,94,-
M11,"ไอศครีมเชอร์เบต, รสต่างๆ","Sherbet ice cream, different flavours",-,21.24,1.27,2.97,130,-,1
M2,"ลูกอม, กลิ่นบลูเบอร์รี่","Candy, blueberry flavoured",-,48,0,0,-,48,0
M5,น้ำตาลทรายแดง,"Sugar cane, brown",Saccharum spp.,84,0.8,0.1,-,95.47,0
M6,น้ำตาลปี๊บ (น้ำตาลหลอม),"Sugar cane, paste",-,81.21,0.14,0,-,90.87,-
M7,"น้ำตาลปี๊บ, ผสม","Sugar coconut, paste, mixed",-,83.58,0.15,0,-,93.88,-
M8,น้ำตาลมะพร้าวแท้,"Sugar, coconut",Cocos nucifera,80.07,0.9,0.11,356,-,0.2
N1,"กระเทียม, หัว, แห้ง","Garlic, dried bulbs",Allium sativum,-,6.3,0.21,125,-,4.7
N100,น้ำพริกแกงมัสมั่น,"Paste, curry, matsaman (Nam phrik kaeng matsaman)",-,8,4.3,18.2,218,-,10.1
N101,น้ำพริกแกงส้ม,"Paste, curry, sour (Nam phrik kaeng som )",-,3.83,7.25,1.14,134,-,6
N102,น้ำพริกเผา,"Paste chilli, fried in oil",-,26,5.02,23.51,396,-,6.3
N105,น้ำพริกแมงดา,"Paste, chilli, with horseshoe crabe (Nam prik mang-da)",-,-,9.47,3.25,196,-,9.2
N11,ข่า,Galanga,Alpinia galanga,-,0.69,0.17,-,7.79,-
N112,ผงหมูแดง,"Marinade powder, for roast pork",-,50.36,2.43,1.02,281,-,2.6
N118,ไตปลา,"Fermented fish, viscera (Tai-pla)",-,-,9.7,14.7,188,-,0
N121,"ไตปลา, ปลาทู","Fermented fish, viscera (Tai-pla), Mackerel",-,-,2.6,1.7,48,-,0
N122,"ขิง, หั่นฝอย","Ginger, sliced, fine",Zingiber officinale,-,0.62,0.21,-,6.99,-
N126,"ซอสปรุงรส (protein<10 กรัม), ต่อ 100 มล.","Sauce, seasoning (protein<10 g) per 100 mL",-,16.35,5.47,0,152,-,0
N127,ซอสผัดไทย,"Sauce, Thai style noodle (Pad-thai)",-,27.35,2.75,7.25,222,-,7.3
N128,ซอสพริกไทยดำ,"Sauce, black pepper",-,16.3,4.55,0,-,33.85,-
N129,ซอสพริกผสมมะเขือเทศ,"Sauce, tomato and chilli, mixed",-,40.7,0.8,0,156,-,2.2
N130,ซอสมะเขือเทศผสมแครอท,"Sauce, tomato and carrot, mixed",-,7.7,1.95,9.41,116,-,1.9
N131,ซอสมะม่วง,"Sauce, mango",-,29.75,0.5,0.1,127,-,0.8
N132,ซอสหอยนางรม สูตรผสมกระเทียม,"Sauce, oyster and galic, mixed",-,22,3.1,0,-,17.3,-
N133,"ซอสหอยนางรม, ชนิดโซเดียมและน้ำตาลต่ำ","Sauce, oyster, low sodium and sugar",-,3.88,1.84,0,81,-,0
N134,"ซีอิ๊วขาว, สูตร 1, ต่อ 100 มล.","Sauce, soy, light, formula 1, per 100 mL",-,3.7,4.14,0,32,-,0
N135,"ซีอิ๊วขาว, สูตร 3, ต่อ 100 มล.","Sauce, soy, light, formula 3, per 100 mL",-,3.6,2.4,0,37,-,0
N136,"ซีอิ้วขาว (ไม่ระบุเกรต), ต่อ 100 มล.","Sauce, soy, light, no grade specified, per 100 mL",-,5.14,4.24,0.02,38,-,0
N137,"ซีอิ๊วดำ, สูตร 1(ซอสจากกากน้ำตาลและถั่วเหลือง)","Sauce, soy, dark, formula 1, salty",-,57.7,0.97,0,280,-,0
N138,"ซีอิ๊วดำ, สูตร 2(ซอสจากกากน้ำตาลและถั่วเหลือง)","Sauce, soy, dark, formula 2, salty",-,38.21,3.37,0,176,-,0
N139,"ซีอิ๊วดำ, สูตร 3(ซอสจากกากน้ำตาลและถั่วเหลือง)","Sauce, soy, dark, formula 3, salty",-,39.07,2.34,0,245,-,0
N140,"ซีอิ๊วดำ, สูตร 4(ซอสจากกากน้ำตาลและถั่วเหลือง)","Sauce, soy, dark, formula 4, salty",-,40.34,1.95,0,226,-,0
N142,ซีอิ๊วหวาน,"Sauce, soy, sweet",-,52.1,2.63,0,218,-,0
N144,"ซุปก้อน, รสไก่ ยี่ห้อต่างๆ","Bouillon cube, chicken flavoured, different brands",-,16.2,14.4,3.9,-,28.9,-
N145,"ซุปก้อน, รสหมู, ยี่ห้อต่างๆ","Bouillon cube, pork flavoured, different brands",-,-,13.23,3.7,-,22.78,-
N146,ซุปก้อน รสต่างๆ,"Bouillon cube, different flavoured",-,23.02,11.46,5.67,198,-,5.5
N147,น้ำจิ้มสุกี้,"Sauce, suki",-,21.13,2.73,2.17,136,-,1.8
N148,น้ำบูดู,"Budu, Muslim fish sauce",-,2.73,7.7,0.75,-,3.8,0.4
N149,"น้ำปลาผสม, ต่อ 100 มล.","Sauce, fish, mixed, per 100 ml",-,2.03,-,0,12,-,0
N150,น้ำพริกแกงกะหรี่,"Sauce, curry",-,9.53,5.08,9.99,175,-,13.8
N153,น้ำสะเต๊ะ,"Sauce, satay",-,14.54,3.64,21,289,-,1.7
N154,"พริกแห้ง, ไม่ระบุชนิด, ป่น","Chilli, ground",Capsicum frutescen,3.43,13.98,20.51,362,-,51
N155,"แมงลัก, ใบ","Hairy basil or Hoary basil, leaves",Ocimum citriodorum,-,2.44,0.49,26,-,5.7
N156,"ซุปกึ่งสำเร็จรูป, รสต่างๆ","Soup, instant, different flavour",-,11.6,8.63,15.1,-,55.33,-
N157,"โหระพาฝรั่ง (อิตาเลี่ยน เบซิล), ใบ, สด","Sweet basil (Italian basil ), leaves, fresh",Ocimum basilicum,0.41,3.29,0.2,30,-,4.8
N16,"ขิง, แก่","Ginger, mature rhizome",Zingiber officinale,-,1.2,0.6,-,5.93,-
N17,"ขิง, อ่อน","Ginger, young rhizome",Zingiber officinale,-,0.5,0.3,11,-,1.4
N18,ตะไคร้,Lemongrass,Cymbopogon citratus,-,0.88,1.31,-,15.48,-
N2,"กระเทียม, สด","Garlic, fresh",Allium sativum,-,2.1,0.1,-,10.4,-
N20,"ผักชี, ราก","Coriander, root",Coriandrum sativum,-,1.7,0.2,46,-,5.8
N21,"ผักชี, เมล็ด","Coriander, seeds",Coriandrum sativum,-,13.6,0.6,-,66.4,-
N25,"พริกขี้หนู, ป่น","Chilli, bird, ground",Capsicum frutescen,3.43,16.23,13.57,322,-,52.4
N26,"พริกไทย, ดำ","Pepper, black, powder",Piper nigrum,-,12.4,7.3,-,62.2,-
N27,"พริกไทย, ขาว","Pepper, white, powder",Piper nigrum,-,11.35,6.5,-,68.6,-
N28,พริกไทยอ่อน,"Pepper, black, whole, fresh",Piper nigrum,-,3.54,1.65,-,13.31,-
N3,"กระเพรา, ใบ","Holy basil, leaves",Ocimum tenuiflorum,-,3.27,0.45,41,-,4.1
N33,"พริกชี้ฟ้า, แห้ง","Pepper, hot, dried",Capsicum annuum,-,14.95,8.63,-,59.92,-
N34,"มะกรูด, ผิว","Leech lime or Kaffir lime, peels",Citrus hystrix,-,3.4,1.48,-,24.32,-
N35,"มะกรูด, ใบ","Leech lime or Kaffir lime, leaves",Citrus hystrix,-,5.46,3.1,-,21.71,-
N36,"มะนาว, ดอง","Lime, pickled",Citrus aurantifolia,-,0.5,0.1,-,10.8,-
N37,"โหระพา, ใบ","Sweet basil, leaves",Ocimum basilicum,-,2.89,0.22,32,-,3.9
N38,"กระวาน, ใบ","Cardamom, leaves",Electaria cardamomum,-,9.5,6.3,-,69.3,-
N39,ยี่หร่า,"Cumin (Yira), leaves",Ocimum gratissimum,-,16.9,7.7,-,54.2,-
N4,"กระชาย, ดิบ","Fingerroot, raw",Boesenbergia rotunda,-,0.34,0.42,21,-,0.6
N40,"สะระแหน่, ใบ","Kitchen Mint or Marsh Mint, leaves",Metha cordifolia,-,3.23,0.67,34,-,5.6
N41,หอมแดง,"Shallot, bulbs",Allium ascalonicum,-,2.57,0.07,64,-,2.4
N42,อบเชย,Cinnamon,Cinnamomum spp.,-,3.3,1,-,76.6,-
N43,"กะปิกุ้ง, คุณภาพดี","Paste, shrimp, fermented (Ka-pi), first class quality",-,-,20.99,0.96,120,-,0
N44,"กะปิ, คุณภาพดี","Paste, shrimp, fermented (Ka-pi), good quality",-,0,24.31,2.47,128,-,0
N45,"กะปิ, คุณภาพรอง","Paste, shrimp, fermented (Ka-pi), second class quality",-,0,9.97,0.58,119,-,0
N47,"กะปิปลา, คุณภาพรอง","Paste, fish, fermented (Ka-pi-pla), second class quality",-,-,2.7,0.5,62,-,5.2
N48,"กะปิเคย, คุณภาพดี","Paste, shrimp, tiny, fermented (Ka-pi), first class quality",-,-,22.07,0.79,109,-,0
N49,"กะปิเคย, คุณภาพรอง","Paste, shrimp, tiny, fermented (Ka-pi), second class quality",-,-,13.9,1.2,81,-,2
N51,"ซอสปรุงรส (protein>10 กรัม), ต่อ 100 มล.","Sauce, seasoning (protein>10 g), per 100 mL",-,2.16,13.69,0.1,56,-,0
N54,ซอสพริก,"Sauce, hot chilli",-,22.47,0.83,0.7,110,-,0
N58,ซอสมะเขือเทศ,"Sauce, tomato (ketchup)",-,25.79,2.05,0,126,-,1
N60,ซอสหอยนางรม,"Sauce, oyster",-,9.94,2.65,0.07,61,-,0.8
N62,"ซีอิ๊วขาว, สูตร 2, ต่อ 100 มล.","Sauce, soy, light, formula 2, per 100 mL",-,4.8,3.76,0.06,47,-,0
N67,น้ำจิ้มไก่,"Sauce, chilli, sweet",-,46.96,0.73,0.41,218,-,1.4
N7,ดอกจันท์,Mace,Myristica fragrans,-,14.2,15.4,-,48.2,-
N71,"น้ำปลาแท้, ต่อ 100 มล.","Sauce, fish, per 100 ml",-,7.01,-,0.01,38,7.01,0
N72,"น้ำปลา, เกรด1, ต่อ 100 มล.","Sauce, fish, grade 1, per 100 ml",-,5.23,8.88,0.01,63,-,0
N74,น้ำปลาหวาน,"Sauce, dipping, for unripe mango (Nam-pla wan)",-,30.18,4.86,0.29,256,-,1.8
N8,ขมิ้นชัน,Turmeric,Curcuma longa,-,1.58,0.23,-,9.42,-
N80,น้ำพริกนรก,"Paste, chilli, dried, spicy (Nam prik narok)",-,0,33.78,25.48,421,-,15.5
N9,ขมิ้นขาว,"Turmeric, white, fresh",Curcuma longa,-,0.37,0.25,-,5.14,-
N95,น้ำพริกแกงเขียวหวาน,"Paste, curry, green (Nam phrik kaeng khieo wan)",-,7.71,3.4,0.83,71,-,8
N96,น้ำพริกแกงแดง,"Paste, curry, red, (Nam phrik kaeng dang)",-,4.48,5.41,2.47,93,-,11.7
N97,น้ำพริกแกงแพนง,"Paste, curry, panang (Nam phrik kaeng panang)",-,8.67,4.59,4.51,124,-,10.8
N99,น้ำพริกแกงเหลือง,"Paste, curry, sour, yellow (Nam phrik kaeng leung)",-,3.7,6.34,1.49,111,-,4.7
Q10,"นมถั่วเหลือง, ยูเอชที, ต่อ 100 มล.","Soybean, milk, UHT, per 100 mL",-,8.3,2.9,3.34,79,-,0.7
Q11,"น้ำกระเจี้ยบ, ต่อ 100 มล.","Drink, roselle, per 100 mL",-,13.29,0.04,0.03,60,-,0.1
Q18,"น้ำมะเขือเทศ, ต่อ 100 มล.","Juice, tomato, per 100 mL",-,3.65,0.66,0.23,34,-,0.7
Q20,"น้ำมะพร้าว, ต่อ 100 มล.","Juice, coconut, per 100 mL",-,5.77,0.09,0.1,28,-,0.1
Q24,"น้ำลิ้นจี่ 25%, ต่อ 100 มล.","Juice, lychee, 25%, per 100 mL",-,12.25,0.12,0.02,53,-,0
Q25,"น้ำว่านหางจระเข้, กระป๋อง, ต่อ 100 มล.","Drink, aloe vera, canned, per 100 mL",-,-,0.04,0.64,49,-,0.2
Q27,"น้ำส้ม 100%, ต่อ 100 มล.","Juice, orange, 100%, per 100 mL",-,12.16,0.68,0.09,57,-,0.4
Q31,"น้ำเสาวรส 25%, ต่อ 100 มล.","Juice, passion fruit, 25%, per 100 mL",-,11.47,0.21,0.03,59,-,0.1
Q34,"น้ำองุ่น 100%, ต่อ 100 มล.","Juice, grape, 100%, per 100 mL",-,13.45,0.2,0,69,-,0
Q35,"กาแฟปรุงสำเร็จรูป, ผง","Coffee, mixed 3 in 1, instant, powder",-,40.83,9.08,6.49,389,-,4.5
Q37,"เครื่องดื่มนมถั่วเหลือง, เสริมช็อกโกมอลต์","Beverage, soybean, milk, with chocolate and malt",-,-,11.03,11.87,-,70.5,-
Q38,"เครื่องดื่มนมถั่วเหลือง, ผสมไวท์มอลต์","Beverage, soybean, milk, with white malt",-,-,11.18,11.47,-,69.09,-
Q40,"ชานม, ต่อ 100 มล.","Tea, with milk, per 100 mL",-,3.5,1.68,1.1,40,-,0
Q43,"น้ำเก็กฮวย, ต่อ 100 มล.","Drink, chrysanthemum, per 100 mL",-,11.16,0,0,42,-,0
Q44,"น้ำขิง, ต่อ 100 มล.","Drink, ginger, per 100 mL",-,7.6,0,0,28,-,0
Q45,น้ำเฉาก๊วย,"Dink, grass jelly",-,6.9,0,0,27,-,0
Q46,"น้ำตาลสด, ต่อ 100 มล.","Juice, palm, per 100 mL",-,-,0.21,0,77,-,0
Q47,"น้ำฝรั่ง 100%, ต่อ 100 มล.","Juice, guava, 100%, per 100 mL",-,12.28,0.1,0,-,14.22,-
Q48,"น้ำฝรั่ง 25%, ต่อ 100 มล.","Juice, guava, 25%, per 100 mL",-,9.6,0.1,0,-,9.27,-
Q49,"น้ำนมข้าวโพด, ต่อ 100 มล.","Corn, milk, per 100 mL",-,8.2,1.05,0.77,45,-,0.7
Q50,"น้ำมะม่วง, ต่อ 100 มล.","Juice, mango, per 100 mL",-,11.68,0.2,0.2,50,-,0.3
Q51,"น้ำมังคุด, ต่อ 100 มล.","Juice, mangoteen, per 100 mL",-,13.3,0.3,0.04,65,-,0.4
Q52,"น้ำรากบัว, ต่อ 100 มล.","Drink, lotus root, per 100 mL",-,8.9,0,0,-,9.3,-
Q54,"น้ำสตรอเบอรี่ 25%, ต่อ 100 มล.","Juice, strawbery, 25%, per 100 mL",-,10.55,0,0,43,-,0.2
Q55,"น้ำสับปะรด, ต่อ 100 มล.","Juice, pineapple, per 100 mL",-,13.38,0.3,0,71,-,0.7
Q56,"น้ำส้ม 25%, ต่อ 100 มล.","Juice, orange, 25%, per 100 mL",-,10.51,0.1,0,39,-,0.4
Q57,"น้ำส้ม 15%, ต่อ 100 มล.","Juice, orange, 15%, per 100 mL",-,16.26,0.15,0,70,-,0.2
Q59,"น้ำองุ่น 25%, ต่อ 100 มล.","Juice, grape, 25%, per 100 mL",-,12.7,0,0,51,-,0.2
Q6,"เครื่องดื่มรสช็อกโกแลต, ผง","Energy drink, chocolate flavoured, powder",-,-,12.01,6.11,400,-,0
S14,"โดนัท, ฮันนี่ดิพ","Doughnut, honey dip",-,11.6,6.5,18.67,384,-,0
S22,"เบอร์เกอร์, เบคอน, ดับเบิลชีส","Burger, bacon with double cheese",-,-,16.48,18.66,-,18.9,-
S25,"พิซซ่า, ซุปเปอร์สุพรีม","Pizza, super supreme",-,-,12.96,9.59,-,29.11,-
S27,"พิซซ่า, ทะเล, ชนิดบาง","Pizza, seafood, thin crust",-,-,15.16,7.92,232,-,3.4
S28,"พิซซ่า, ทะเล, ชนิดหนา","Pizza, seafood, thick crust",-,-,14.05,7.14,-,32.69,-
S30,"โดนัท, สอดไส้แยมสตรอเบอร์รี่","Doughnut, stawbery jam, filled",-,8.5,5.7,14.55,346,-,0
S31,"พิซซ่า, หน้าต่างๆ (ไก่,เนื้อ,เบคอน,ผัก,มายองเนส, ทูน่า)","Pizza, different topping",-,3.25,11.84,9.32,243,-,2.1
S32,โรตี,Roti,-,-,7.37,13.3,359,-,0
S33,โรตีบอย,"Bun, rotiboy",-,-,8.22,20.44,424,-,0
S34,"แฮมเบอร์เกอร์, ไก่","Hamburger, chicken",-,-,13.29,15.99,294,-,2.3
S35,"แฮมเบอร์เกอร์, เนื้อ","Hamburger, beef",-,-,12.58,12.75,254,-,1.4
S36,"พิซซ่า, ฮาวายเอี้ยน, ชนิดหนา","Pizza, Hawaiian, thick crust",-,-,12.82,8.13,-,30.22,-
S37,มันฝรั่งทอด,French fries,-,-,4.11,19.25,345,-,5.3
S38,ฮอทดอก,Hot dog,-,-,10.2,13.1,269,-,2.7
S6,"แซนวิช, ไก่","Sandwiches, chicken",-,-,12.27,14.34,271,-,1.6
S7,"แซนวิช, ปลา","Sandwiches, fish",-,-,10.46,15.84,-,27.47,-
T10,"ก๋วยเตี๋ยวเส้นใหญ่, น้ำ, เย็นตาโฟ","Yen-ta-fo (Rice noodles, with fish ball, swamp cabbage red sauce and soup)",-,-,3.05,2.67,-,-,-
T102,"ส้มตำ, ปู-กุ้ง",Papaya salad with crab and dried shrimps (Som-tum Poo-goong),-,-,3.7,2.1,-,12.8,-
T103,"ส้มตำ, อีสาน","Papaya salad, northeastern style (Som-tum-Isan)",-,-,1.8,0.3,-,4.5,-
T105,"เส้นเล็ก, เนื้อสด, น้ำ","Rice noodles, small size, with beef and soup",-,-,4.6,2.7,-,8.5,-
T106,"เส้นเล็ก, ลูกชิ้นเนื้อวัว, น้ำ","Rice noodles, small size, with beef ball and soup",-,-,4,-,-,-,-
T107,"เส้นเล็ก, ลูกชิ้นเนื้อวัว, เนื้อสด-เปื่อย, น้ำ","Rice noodles, small size, with beef ball, beef, stewed beef and soup",-,-,5.9,1.7,-,9.9,-
T110,"เส้นเล็ก, ลูกชิ้นเนื้อวัว, แห้ง","Rice noodles, small size, with beef ball (wihout soup)",-,-,5.5,6.7,-,17.6,-
T112,"เส้นหมี่, เนื้อเปื่อย,น้ำ","Rice noodles, fine thread, with stewed beef and soup",-,-,5.4,2.7,-,-,-
T113,"เส้นหมี่, เนื้อสด-เปื่อย","Rice noodles, fine thread, with beef and stewed beef (wihout soup)",-,-,5.1,2.7,-,-,-
T115,"เส้นหมี่, เนื้อสด,น้ำ","Rice noodles, fine thread, with beef and soup",-,-,4.4,2,-,-,-
T119,"เส้นหมี่, ลูกชิ้นเนื้อวัว, เนื้อสด, น้ำ","Rice noodles, fine thread, with beef ball, beef and soup",-,-,4.78,1.52,-,-,-
T12,"ก๋วยเตี๋ยวเส้นใหญ่, ราดหน้า, กุ้ง","Guay-teaw-rad-nah, goong (Fried rice noodles with dark soy sauce, topped with fried chinese kale, shrimps and gravy)",-,-,2.4,2.7,-,12.4,-
T121,"เส้นหมี่, ลูกชิ้นเนื้อวัว, แห้ง","Rice noodles, fine thread, with beef ball (without soup)",-,-,5.87,8.11,-,21.7,-
T122,"เส้นหมี่, ลูกชิ้นเนื้อวัว, น้ำ","Rice noodles, fine thread, with beef ball and soup",-,-,3.16,1.26,49,-,0.7
T123,"เส้นใหญ่, ลูกชิ้นเนื้อวัว, น้ำ","Rice noodles, big size, with beef ball and soup",-,-,4.58,0.72,-,9,-
T125,"เส้นใหญ่, ลูกชิ้นเนื้อวัว, เนื้อสด-เปื่อย, น้ำ","Rice noodles, big size, with beef ball, beef and stewed beef and soup",-,-,5.3,1.6,-,8.1,-
